timestamp,item,time_ms,percentage,source
2025-07-23 23:12:10,"532.499: sourcing /Users/joshpeterson/.config/nvim/init.lua",2455.421,231.4%,profile
2025-07-23 23:12:12,"232.266: sourcing /Users/joshpeterson/.config/nvim/init.lua",1556.289,146.6%,profile
2025-07-23 23:12:11,"270.029: sourcing /Users/joshpeterson/.config/nvim/init.lua",1459.690,137.5%,profile
2025-07-23 23:12:11,"217.172: sourcing /Users/joshpeterson/.config/nvim/init.lua",1277.397,120.4%,profile
2025-07-23 23:12:12,"194.347: sourcing /Users/joshpeterson/.config/nvim/init.lua",1052.777,99.2%,profile
2025-07-23 23:12:10,"184.162: sourcing /Users/joshpeterson/.config/nvim/init.lua",1038.194,97.8%,profile
2025-07-23 23:12:10,"001.224: require('config')",790.537,74.5%,profile
2025-07-23 23:12:09,"000.363: require('config')",755.232,71.2%,profile
2025-07-23 23:12:12,"000.874: require('config')",623.295,58.7%,profile
2025-07-23 23:12:12,"000.404: require('config')",562.427,53.0%,profile
2025-07-23 23:12:10,"000.451: require('config')",507.629,47.8%,profile
2025-07-23 23:12:09,"000.377: require('config')",487.697,46.0%,profile
2025-07-23 23:12:11,"001.478: require('config.keymaps')",486.884,45.9%,profile
2025-07-23 23:12:12,"001.565: require('config.keymaps')",470.816,44.4%,profile
2025-07-23 23:12:13,"213.045: require('dap')",361.277,34.0%,profile
2025-07-23 23:12:12,"223.978: require('dap')",335.735,31.6%,profile
2025-07-23 23:12:10,"001.936: require('config.keymaps')",277.278,26.1%,profile
2025-07-23 23:12:10,"001.238: require('config.keymaps')",266.685,25.1%,profile
2025-07-23 23:12:11,"002.109: require('config.keymaps')",257.276,24.2%,profile
2025-07-23 23:12:09,"001.010: require('config.keymaps')",200.366,18.9%,profile
2025-07-23 23:12:11,"123.249: require('dap')",191.283,18.0%,profile
2025-07-23 23:12:10,"004.857: require('config.telescope')",167.116,15.7%,profile
2025-07-23 23:12:12,"119.694: require('dap')",166.856,15.7%,profile
2025-07-23 23:12:11,"106.694: require('dap')",164.023,15.5%,profile
2025-07-23 23:12:11,"004.966: require('config.telescope')",149.129,14.1%,profile
2025-07-23 23:12:12,"001.535: require('CopilotChat')",139.391,13.1%,profile
2025-07-23 23:12:11,"004.951: require('config.telescope')",136.884,12.9%,profile
2025-07-23 23:12:10,"091.090: require('dap')",136.471,12.9%,profile
2025-07-23 23:12:12,"003.670: require('config.telescope')",131.633,12.4%,profile
2025-07-23 23:12:11,"000.412: sourcing /Users/joshpeterson/.local/share/nvim/lazy/dash.nvim/plugin/dash.vim",128.771,12.1%,profile
2025-07-23 23:12:12,"008.500: require('config.lsp')",121.866,11.5%,profile
2025-07-23 23:12:12,"004.022: require('config.telescope')",120.833,11.4%,profile
2025-07-23 23:12:12,"003.803: require('cmp')",117.901,11.1%,profile
2025-07-23 23:12:10,"000.365: sourcing /Users/joshpeterson/.local/share/nvim/lazy/dash.nvim/plugin/dash.vim",115.577,10.9%,profile
2025-07-23 23:12:10,"003.476: require('config.telescope')",115.255,10.9%,profile
2025-07-23 23:12:12,"002.315: require('cmp.core')",111.478,10.5%,profile
2025-07-23 23:12:12,"001.280: require('CopilotChat.context')",108.863,10.3%,profile
2025-07-23 23:12:12,"003.842: require('CopilotChat.client')",107.582,10.1%,profile
2025-07-23 23:12:12,"094.794: require('CopilotChat.tiktoken')",103.740,9.8%,profile
2025-07-23 23:12:10,"005.659: require('luasnip.loaders.from_vscode')",102.093,9.6%,profile
2025-07-23 23:12:11,"082.128: require('lspconfig')",90.806,8.6%,profile
2025-07-23 23:12:12,"000.468: sourcing /Users/joshpeterson/.local/share/nvim/lazy/plugin_neo_vim/plugin/pieces.lua",85.300,8.0%,profile
2025-07-23 23:12:09,"005.696: require('harpoon')",82.146,7.7%,profile
2025-07-23 23:12:12,"000.284: sourcing /Users/joshpeterson/.local/share/nvim/lazy/dash.nvim/plugin/dash.vim",76.838,7.2%,profile
2025-07-23 23:12:13,"068.160: require('harpoon')",76.450,7.2%,profile
2025-07-23 23:12:11,"004.037: require('fzf-lua')",70.314,6.6%,profile
2025-07-23 23:12:11,"004.323: require('luasnip.loaders.from_vscode')",62.532,5.9%,profile
2025-07-23 23:12:10,"017.221: require('config.lualine')",61.484,5.8%,profile
2025-07-23 23:12:10,"012.308: require('config.lualine')",56.369,5.3%,profile
2025-07-23 23:12:13,"015.928: require('config.lualine')",55.349,5.2%,profile
2025-07-23 23:12:12,"008.498: require('formatter.filetypes.any')",53.944,5.1%,profile
2025-07-23 23:12:12,"002.532: require('luasnip.loaders.from_vscode')",52.975,5.0%,profile
2025-07-23 23:12:10,"000.719: require('luasnip.util.parser')",52.397,4.9%,profile
2025-07-23 23:12:13,"005.172: require('config.fidget')",51.415,4.8%,profile
2025-07-23 23:12:10,"043.439: require('config.cmp')",50.760,4.8%,profile
